Collection,Asset,Primary Owner,Second Owner,Sys Admin,Label,STIGs,Benchmarks,Assessed,Submitted,Accepted,Rejected,CAT3,CAT2,CAT1
NP_C10-ASI_1838_DBS,Oracle-FINDB,,,,,1,Oracle_Database_12c_STIG,99%,99%,91%,0%,0,5,0
NP_C10-ASI_1838_DBS,Oracle-TFINDB,,,,,1,Oracle_Database_12c_STIG,99%,99%,91%,0%,0,6,0
NP_C10-B3COI Win WS_1315_DBS,1042_Responsibilities_Asset,,,,,1,Application_Security_Development_STIG,18%,18%,0%,0%,0,0,0
NP_C10-B3COI Win WS_1315_DBS,B3COI_SAN,,,,,1,SAN,100%,100%,0%,0%,2,0,0
NP_C10-B3COI Win WS_1315_DBS,C27ACASNWPT01,Eric Garcia,Alex Kasparek,,,3,"RHEL_7_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",94%,89%,72%,0%,2,14,0
NP_C10-B3COI Win WS_1315_DBS,C27ADCONSOLE1,Guy Minkin,,,,8,"IE_11_STIG,Microsoft_OneDrive,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,0%,0%,2,7,0
NP_C10-B3COI Win WS_1315_DBS,C27ADCONSOLE2,Guy Minkin,,,,9,"HBSS_Rogue_Sensor,IE_11_STIG,Microsoft_OneDrive,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,4,7,0
NP_C10-B3COI Win WS_1315_DBS,C27ADCONSOLE3,Guy Minkin,,,,8,"IE_11_STIG,Microsoft_OneDrive,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,0%,0%,2,7,0
NP_C10-B3COI Win WS_1315_DBS,C27DADCONSOLE1,Guy Minkin,,,,8,"IE_11_STIG,Microsoft_OneDrive,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,64%,0%,3,11,0
NP_C10-B3COI Win WS_1315_DBS,C27DADCONSOLE2,Guy Minkin,,,,8,"IE_11_STIG,Microsoft_OneDrive,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,3,11,0
NP_C10-B3COI Win WS_1315_DBS,C27DATNWPT48,,,,,2,"VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,0,0
NP_C10-B3COI Win WS_1315_DBS,C27DMPSNWPT10,Derek Durski,,,,2,"VMW_vSphere_7-0_ESXi_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,3,0
NP_C10-B3COI Win WS_1315_DBS,C27DMPSNWPT11,Derek Durski,,,,2,"VMW_vSphere_7-0_ESXi_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,3,0
NP_C10-B3COI Win WS_1315_DBS,C27DNWPTT0AW01,Jon Helgesen,,,,8,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Microsoft_OneDrive,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,2,12,0
NP_C10-B3COI Win WS_1315_DBS,C27DNWPTT1AW01,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,2,8,0
NP_C10-B3COI Win WS_1315_DBS,C27DNWPTT1AW02,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,2,8,0
NP_C10-B3COI Win WS_1315_DBS,C27EXCNWPT01,Jay Andrade,,,,2,"VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,0,0
NP_C10-B3COI Win WS_1315_DBS,C27IDMNWPT01,Adrian Correia,,,,2,"VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,0,0
NP_C10-B3COI Win WS_1315_DBS,C27MPSNWPT10,Derek Durski,,,,2,"VMW_vSphere_7-0_ESXi_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,3,0
NP_C10-B3COI Win WS_1315_DBS,C27MPSNWPT11,Derek Durski,,,,2,"VMW_vSphere_7-0_ESXi_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,3,0
NP_C10-B3COI Win WS_1315_DBS,C27MPSNWPT12,Derek Durski,,,,2,"VMW_vSphere_7-0_ESXi_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,3,0
NP_C10-B3COI Win WS_1315_DBS,C27NESNWPT01,Eric Garcia,Alex Kasparek,,,3,"RHEL_7_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",94%,89%,72%,0%,2,14,0
NP_C10-B3COI Win WS_1315_DBS,C27NWPTT0AW01,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,98%,88%,0%,3,10,0
NP_C10-B3COI Win WS_1315_DBS,C27NWPTT1AW01,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,3,8,0
NP_C10-B3COI Win WS_1315_DBS,C27NWPTT1AW02,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,88%,0%,3,7,0
NP_C10-B3COI Win WS_1315_DBS,C27NWPTT1AW03,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,0%,0%,2,7,0
NP_C10-B3COI Win WS_1315_DBS,C27NWPTT1AW04,Jon Helgesen,,,,7,"IE_11_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,MS_Edge_STIG,MS_Windows_10_STIG,Windows_PAW_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,0%,0%,2,7,0
NP_C10-B3COI Win WS_1315_DBS,C27SPLSNWPT11,Craig F.,,,,4,"RHEL_7_STIG,Splunk_Enterprise_8-x_for_Linux_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,6,0
NP_C10-B3COI Win WS_1315_DBS,C27SPLXNWPT11,Craig F.,,,,4,"RHEL_7_STIG,Splunk_Enterprise_8-x_for_Linux_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,6,0
NP_C10-B3COI Win WS_1315_DBS,C27SYSLOGNWPT01,Corey Long,,,,3,"RHEL_7_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,10,0
NP_C10-B3COI Win WS_1315_DBS,C27VRLINWPT01,Adrian Correia,,,,2,"VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,0,0
NP_C10-B3COI Win WS_1315_DBS,C27WEBNWPT01,Adrian Correia,,,,4,"VMW_vSphere_7-0_vCA_Photon_OS_STIG,VMW_vSphere_7-0_vCenter_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,1,2,0
NP_C10-B3COI Win WS_1315_DBS,NPML-B104-RM101-B3COI,Ryan Nario,,,,4,"Cisco_IOS_XE_Switch_L2S_STIG,Cisco_IOS_XE_Switch_NDM_STIG,Network_Infrastructure_Policy_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT71-NewPortalV4Ext-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,77%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT71-NewPortalV4Root-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,80%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT71-PortalV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,80%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT71-SharePoint Web Services-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,73%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT71-UserSiteV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,77%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT72-NewPortalV4Ext-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,77%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT72-NewPortalV4Root-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,80%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT72-PortalV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,77%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT72-SharePoint Web Services-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,75%,0%,0,4,0
NP_C10-B3COI-Database/Web_1315_DBS,C27APLNWPT72-UserSiteV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,82%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27COMMVNWPT01-Consoles-NA,,,,,1,IIS_10-0_Site_STIG,89%,80%,45%,0%,0,4,0
NP_C10-B3COI-Database/Web_1315_DBS,C27COMMVNWPT01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,93%,84%,52%,0%,0,4,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DATNWPT03-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,0%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DATNWPT03-WSUS Administration-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,0%,0%,0,4,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DATNWPT71-C27DATNWPT71-SQL2016,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,0%,0%,1,15,4
NP_C10-B3COI-Database/Web_1315_DBS,C27DATNWPT71-C27DATNWPT71-SQLSERVER2017,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,0%,0%,1,18,4
NP_C10-B3COI-Database/Web_1315_DBS,C27DATNWPT72-C27DATNWPT72-SHAREPOINTSQL,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,0%,0%,1,17,4
NP_C10-B3COI-Database/Web_1315_DBS,C27DATNWPT72-C27DATNWPT72-SQLSERVER2017,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,0%,0%,1,16,4
NP_C10-B3COI-Database/Web_1315_DBS,C27DDATNWPT71-C27DDATNWPT71-SQLDEV01,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,99%,0%,0%,0,12,2
NP_C10-B3COI-Database/Web_1315_DBS,C27DDATNWPT71-C27DDATNWPT71-SQLTEST01,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,98%,0%,0%,0,12,3
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT02-Default Web Site-NA,,,,,1,IIS_8-5_Site_STIG,100%,73%,54%,0%,0,12,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT02-WSUS Administration-NA,,,,,1,IIS_8-5_Site_STIG,98%,73%,50%,0%,0,11,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT03-C27DWEBNWPT03-NA,,,,,1,IIS_8-5_Site_STIG,94%,85%,63%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT03-ISMS-NA,,,,,1,IIS_8-5_Site_STIG,94%,88%,65%,0%,0,2,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT03-ISMSt-NA,,,,,1,IIS_8-5_Site_STIG,94%,90%,63%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT03-PKI.CRL-NA,,,,,1,IIS_8-5_Site_STIG,98%,90%,60%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT03-WWW-NA,,,,,1,IIS_8-5_Site_STIG,100%,85%,56%,0%,0,8,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT71-NewportalV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,66%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT71-SharePoint - 4449-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,70%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT71-SharePoint Central Administration v4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,70%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27DWEBNWPT71-SharePoint Web Services-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,77%,0%,0,2,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT11-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,98%,75%,0%,0%,0,10,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT71-NewPortalV4Ext-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,73%,0%,0,2,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT71-NewPortalV4Root-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,77%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT71-PortalV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,75%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT71-SharePoint Central Administration v4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,75%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT71-SharePoint Web Services-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,73%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT71-UserSiteV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,80%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT72-NewPortalV4Ext-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,75%,0%,0,1,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT72-NewPortalV4Root-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,84%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT72-PortalV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,80%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT72-SharePoint Web Services-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,73%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT72-UserSiteV4-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,82%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,C27WEBNWPT99-Default Web Site-NA,,,,,1,IIS_8-5_Site_STIG,100%,85%,56%,0%,0,8,0
NP_C10-B3COI-Database/Web_1315_DBS,E2,,,,,3,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,RHEL_7_STIG,U_CAN_Ubuntu_18-04_STIG",0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_ATS_DBA,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_ATS_Developer,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_ATS_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_ATS_Tester_CM_PM,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_Ecraft_DBA,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_Ecraft_Developer,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_Ecraft_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_Ecraft_Tester_CM_PM,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ecraft_App_MASTER_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_AOL_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_AOOT_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_CCICO_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_CLF_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_DEMO-IP_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_EMPLV_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_ENCH_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_HR-Apps_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_LDA_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_RFL_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_RFOT_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_SEC_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Ench_App_UTIL_Rollup,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54APL17-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,75%,0%,0,2,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54APL20-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,57%,0%,0,6,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54APL23-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,59%,0%,0,2,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54APL48-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,59%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB15-CORPAPPS-NA,,,,,1,IIS_10-0_Site_STIG,93%,86%,70%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB15-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,95%,89%,73%,0%,0,3,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB15-ISMS-NA,,,,,1,IIS_10-0_Site_STIG,93%,80%,64%,0%,0,6,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB19-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,95%,66%,55%,0%,0,13,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB23-Default Web Site-NA,,,,,1,IIS_8-5_Site_STIG,94%,81%,58%,0%,0,5,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB23-ISMSsite-NA,,,,,1,IIS_8-5_Site_STIG,96%,81%,56%,0%,0,6,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB23-KeystoneWeb-NA,,,,,1,IIS_8-5_Site_STIG,94%,73%,46%,0%,0,11,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB23-PKI.CRL-NA,,,,,1,IIS_8-5_Site_STIG,100%,79%,46%,0%,0,11,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB52-ISMS-NA,,,,,1,IIS_10-0_Site_STIG,93%,70%,59%,0%,0,10,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB52-NPRI54WEB52-NA,,,,,1,IIS_10-0_Site_STIG,95%,70%,59%,0%,0,11,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB53-CORPAPPS-NA,,,,,1,IIS_10-0_Site_STIG,98%,84%,0%,0%,0,6,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB53-CORPAPPS1-NA,,,,,1,IIS_10-0_Site_STIG,98%,77%,0%,0%,0,9,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB53-CORPAPPS2-NA,,,,,1,IIS_10-0_Site_STIG,95%,73%,0%,0%,0,10,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB53-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,98%,77%,0%,0%,0,9,0
NP_C10-B3COI-Database/Web_1315_DBS,NPRI54WEB53-WWW-NA,,,,,1,IIS_10-0_Site_STIG,95%,77%,0%,0%,0,8,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-ARCHIBUS,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-DECRAFT,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-DENTECR,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-ECRAFT,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-GRID,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-ITSMDB,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-ITSMDEV,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-PSG,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-PSGDEV,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-REPO,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,Oracle-TECRAFT,,,,,1,Oracle_Database_12c_STIG,0%,0%,0%,0%,0,0,0
NP_C10-B3COI-Database/Web_1315_DBS,TST-SERVER1,,,,,6,"HBSS_PolicyAuditor,IE_11_STIG,MS_Dot_Net_Framework,MS_SQL_Server_2014_Database_STIG,MS_SQL_Server_2014_Instance_STIG,Windows_Server_2016_STIG",0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,C27DATNWPT43,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,Splunk_Enterprise_7-x_for_Windows_STIG,MS_Defender_Antivirus,Windows_2012_MS_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG",84%,83%,83%,0%,1,3,0
